par_id,accepted,name,value
2,FALSE,LLH from hospit. <5y,3146.329885532154
2,FALSE,LLH from hospit. >65y,3251.8207275918376
2,FALSE,LLH from attack rates,844.1182483158289
2,FALSE,complete likelihood,7242.26886143982
4,TRUE,LLH from hospit. <5y,1494.2802160859876
4,TRUE,LLH from hospit. >65y,914.9484859062678
4,TRUE,LLH from attack rates,317.68118812023323
4,TRUE,complete likelihood,2726.909890112489
7,TRUE,LLH from hospit. <5y,1831.2011059997276
7,TRUE,LLH from hospit. >65y,1329.1200296164425
7,TRUE,LLH from attack rates,269.9091063869937
7,TRUE,complete likelihood,3430.2302420031638
9,TRUE,LLH from hospit. <5y,709.9653598261235
9,TRUE,LLH from hospit. >65y,1221.5652263772158
9,TRUE,LLH from attack rates,319.19889362086064
9,TRUE,complete likelihood,2250.7294798242
12,FALSE,LLH from hospit. <5y,1535.7096428555644
12,FALSE,LLH from hospit. >65y,1327.7700875323587
12,FALSE,LLH from attack rates,511.0509115242902
12,FALSE,complete likelihood,3374.5306419122135
22,FALSE,LLH from hospit. <5y,2063.123517781189
22,FALSE,LLH from hospit. >65y,1206.7412270847683
22,FALSE,LLH from attack rates,258.41494629159325
22,FALSE,complete likelihood,3528.279691157551
23,TRUE,LLH from hospit. <5y,618.3004665224954
23,TRUE,LLH from hospit. >65y,858.7338109913665
23,TRUE,LLH from attack rates,301.0261982781488
23,TRUE,complete likelihood,1778.0604757920107
26,FALSE,LLH from hospit. <5y,3378.7215627711876
26,FALSE,LLH from hospit. >65y,2092.3341862904063
26,FALSE,LLH from attack rates,723.2292528214849
26,FALSE,complete likelihood,6194.285001883079
28,FALSE,LLH from hospit. <5y,3014.352404390972
28,FALSE,LLH from hospit. >65y,1350.431620210938
28,FALSE,LLH from attack rates,1057.5248004871576
28,FALSE,complete likelihood,5422.308825089067
33,FALSE,LLH from hospit. <5y,3521.706336783829
33,FALSE,LLH from hospit. >65y,1546.499317793762
33,FALSE,LLH from attack rates,361.1482902285604
33,FALSE,complete likelihood,5429.353944806152
35,FALSE,LLH from hospit. <5y,2196.7604381456545
35,FALSE,LLH from hospit. >65y,753.176992243396
35,FALSE,LLH from attack rates,257.99593666278855
35,FALSE,complete likelihood,3207.933367051839
36,FALSE,LLH from hospit. <5y,2115.753954003453
36,FALSE,LLH from hospit. >65y,1315.5901285426985
36,FALSE,LLH from attack rates,370.71744697366506
36,FALSE,complete likelihood,3802.0615295198168
37,TRUE,LLH from hospit. <5y,583.8462632768614
37,TRUE,LLH from hospit. >65y,531.5466132524624
37,TRUE,LLH from attack rates,384.86678740800045
37,TRUE,complete likelihood,1500.2596639373241
40,FALSE,LLH from hospit. <5y,1928.707341340547
40,FALSE,LLH from hospit. >65y,815.8669976681605
40,FALSE,LLH from attack rates,710.3779467530625
40,FALSE,complete likelihood,3454.95228576177
41,TRUE,LLH from hospit. <5y,1330.4592859186023
41,TRUE,LLH from hospit. >65y,1526.8001032314355
41,TRUE,LLH from attack rates,329.37202948063924
41,TRUE,complete likelihood,3186.631418630677
42,TRUE,LLH from hospit. <5y,795.339504444175
42,TRUE,LLH from hospit. >65y,615.9281838378892
42,TRUE,LLH from attack rates,NA
42,TRUE,complete likelihood,NA
43,FALSE,LLH from hospit. <5y,2645.882255155839
43,FALSE,LLH from hospit. >65y,2036.254516885676
43,FALSE,LLH from attack rates,503.2848856234137
43,FALSE,complete likelihood,5185.421657664929
44,FALSE,LLH from hospit. <5y,1812.5516669980475
44,FALSE,LLH from hospit. >65y,1201.6907691231115
44,FALSE,LLH from attack rates,334.4407209128704
44,FALSE,complete likelihood,3348.683157034029
48,TRUE,LLH from hospit. <5y,3169.2456122430026
48,TRUE,LLH from hospit. >65y,1002.0308456304044
48,TRUE,LLH from attack rates,312.0079372872833
48,TRUE,complete likelihood,4483.28439516069
49,TRUE,LLH from hospit. <5y,390.7911451176938
49,TRUE,LLH from hospit. >65y,949.2037891767798
49,TRUE,LLH from attack rates,348.0259037257339
49,TRUE,complete likelihood,1688.0208380202075
